"subject_id","trial","sex","target_present","conf_resp","ident_resp","target_id","lure_id","rev_norev"
1,1,1,0,3,-1,"0","_m/M519.png - _m/M897.png","norev"
1,2,1,1,2,0,"_m/M869.png","_m/M684.png","norev"
1,3,0,0,3,-1,"0","_f/F615.png - _f/F847.png","norev"
1,4,1,0,3,-1,"0","_m/M657.png - _m/M404.png","norev"
1,5,1,1,3,1,"_m/M776.png","_m/M898.png","norev"
1,6,1,1,2,1,"_m/M550.png","_m/M530.png","norev"
1,7,1,0,2,-1,"0","_m/M796.png - _m/M662.png","norev"
1,8,0,0,3,-1,"0","_f/F451.png - _f/F359.png","norev"
1,9,0,0,3,-1,"0","_f/F855.png - _f/F771.png","norev"
1,10,0,0,2,-1,"0","_f/F884.png - _f/F523.png","norev"
1,11,1,1,3,0,"_m/M663.png","_m/M710.png","norev"
1,12,0,1,2,0,"_f/F859.png","_f/F875.png","norev"
1,13,1,1,2,1,"_m/M403.png","_m/M520.png","norev"
1,14,0,0,3,-1,"0","_f/F740.png - _f/F539.png","norev"
1,15,1,0,3,-1,"0","_m/M600.png - _m/M333.png","norev"
1,16,1,1,3,0,"_m/M353.png","_m/M699.png","norev"
1,17,0,1,3,1,"_f/F692.png","_f/F671.png","norev"
1,18,1,1,4,0,"_m/M844.png","_m/M389.png","norev"
1,19,0,0,2,-1,"0","_f/F824.png - _f/F471.png","norev"
1,20,0,1,2,0,"_f/F354.png","_f/F815.png","norev"
1,21,0,1,2,0,"_f/F513.png","_f/F787.png","norev"
1,22,1,0,4,-1,"0","_m/M881.png - _m/M581.png","norev"
1,23,0,0,4,-1,"0","_f/F676.png - _f/F595.png","norev"
1,24,0,0,2,-1,"0","_f/F929.png - _f/F392.png","norev"
1,25,0,1,1,0,"_f/F433.png","_f/F930.png","norev"
1,26,1,0,4,-1,"0","_m/M700.png - _m/M542.png","norev"
1,27,0,0,3,-1,"0","_f/F332.png - _f/F457.png","norev"
1,28,0,0,3,-1,"0","_f/F587.png - _f/F709.png","norev"
1,29,0,0,2,-1,"0","_f/F490.png - _f/F486.png","norev"
1,30,1,0,2,-1,"0","_m/M936.png - _m/M720.png","norev"
1,31,1,1,3,1,"_m/M409.png","_m/M907.png","norev"
1,32,0,0,2,-1,"0","_f/F644.png - _f/F856.png","norev"
1,33,0,1,2,1,"_f/F895.png","_f/F427.png","norev"
1,34,0,1,3,1,"_f/F388.png","_f/F465.png","norev"
1,35,0,1,3,0,"_f/F599.png","_f/F424.png","norev"
1,36,0,0,1,-1,"0","_f/F544.png - _f/F919.png","norev"
1,37,1,1,3,0,"_m/M794.png","_m/M719.png","norev"
1,38,0,1,4,0,"_f/F346.png","_f/F379.png","norev"
1,39,0,1,3,1,"_f/F909.png","_f/F373.png","norev"
1,40,1,0,2,-1,"0","_m/M413.png - _m/M419.png","norev"
1,41,0,0,1,-1,"0","_f/F575.png - _f/F735.png","norev"
1,42,0,0,3,-1,"0","_f/F507.png - _f/F497.png","norev"
1,43,0,1,2,1,"_f/F650.png","_f/F653.png","norev"
1,44,0,1,2,0,"_f/F714.png","_f/F329.png","norev"
1,45,0,1,3,1,"_f/F698.png","_f/F756.png","norev"
1,46,1,0,3,-1,"0","_m/M861.png - _m/M896.png","norev"
1,47,0,0,1,-1,"0","_f/F845.png - _f/F739.png","norev"
1,48,0,1,2,0,"_f/F515.png","_f/F463.png","norev"
1,49,0,0,3,-1,"0","_f/F898.png - _f/F652.png","norev"
1,50,1,0,2,-1,"0","_m/M565.png - _m/M544.png","norev"
1,51,0,0,2,-1,"0","_f/F841.png - _f/F752.png","norev"
1,52,1,1,3,1,"_m/M396.png","_m/M362.png","norev"
1,53,0,1,2,0,"_f/F840.png","_f/F721.png","norev"
1,54,0,1,4,1,"_f/F809.png","_f/F820.png","norev"
1,55,1,1,3,0,"_m/M927.png","_m/M417.png","norev"
1,56,1,0,4,-1,"0","_m/M428.png - _m/M923.png","norev"
1,57,1,0,1,-1,"0","_m/M378.png - _m/M391.png","norev"
1,58,1,1,2,0,"_m/M459.png","_m/M682.png","norev"
1,59,0,0,3,-1,"0","_f/F737.png - _f/F438.png","norev"
1,60,0,0,4,-1,"0","_f/F754.png - _f/F383.png","norev"
1,61,1,0,1,-1,"0","_m/M676.png - _m/M629.png","norev"
1,62,0,0,3,-1,"0","_f/F725.png - _f/F853.png","norev"
1,63,0,0,3,-1,"0","_f/F516.png - _f/F719.png","norev"
1,64,0,0,4,-1,"0","_f/F528.png - _f/F531.png","norev"
1,65,1,0,3,-1,"0","_m/M511.png - _m/M697.png","norev"
1,66,1,0,1,-1,"0","_m/M859.png - _m/M390.png","norev"
1,67,1,1,3,1,"_m/M366.png","_m/M610.png","norev"
1,68,1,0,1,-1,"0","_m/M742.png - _m/M406.png","norev"
