Eprime.Level	Eprime.LevelName	Eprime.Basename	Eprime.FrameNumber	Procedure	Running	Face1	Face2	Face3	Face4	Ethnicity1	Gender1	EG1	Ethnicity2	Gender2	EG2	Ethnicity3	Gender3	EG3	Ethnicity4	Gender4	EG4	CorrectAnswer	XCoorFace1	XCoorFace2	XCoorFace3	XCoorFace4	Cycle	Sample	TwoAFCVoiceSoundIn1.Filename	TwoAFCVoice.OnsetDelay	TwoAFCVoice.OnsetTime	TwoAFCVoice.DurationError	TwoAFCVoice.RTTime	TwoAFCVoice.ACC	TwoAFCVoice.RT	TwoAFCVoice.RESP	TwoAFCVoice.CRESP	TwoAFCVoice.OnsetToOnsetTime	TwoAFCVoice.DEVICE	Confidence.DEVICE	Confidence.OnsetDelay	Confidence.OnsetTime	Confidence.DurationError	Confidence.RTTime	Confidence.ACC	Confidence.RT	Confidence.RESP	Confidence.CRESP	Confidence.OnsetToOnsetTime	Justinification.OnsetDelay	Justinification.OnsetTime	Justinification.DurationError	Justinification.RTTime	Justinification.ACC	Justinification.RT	Justinification.RESP	Justinification.CRESP	Justinification.OnsetToOnsetTime	FourAFCVoiceSoundIn1.Filename	FourAFCVoice.OnsetDelay	FourAFCVoice.OnsetTime	FourAFCVoice.DurationError	FourAFCVoice.RTTime	FourAFCVoice.ACC	FourAFCVoice.RT	FourAFCVoice.RESP	FourAFCVoice.CRESP	FourAFCVoice.OnsetToOnsetTime	FourAFCVoice.DEVICE	Justinification.DEVICE	Subject
2	TestList_24	Acoustic Content Analysis CSUN-1-1	102	twoafcproc	TestList	./stimuli/LF-250.jpg	./stimuli/LM-230.jpg	?	?	L	F	LF	L	M	LM	?	?	?	?	?	?	2	60%	40%	?	?	1	1	Acoustic Content Analysis CSUN-1-1TwoAFCVoice-1.wav	225	1792661	6	0	0	0		2	10015	Keyboard	Keyboard	15	1802676	-999999	1807348	0	4672	1		0	0	0	0	0	0	0			0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S1
2	TestList_63	Acoustic Content Analysis CSUN-1-1	103	fourafcproc	TestList	./stimuli/WM-019.jpg	./stimuli/LF-248.jpg	./stimuli/LF-236.jpg	./stimuli/BM-043.jpg	W	M	WM	L	F	LF	L	F	LF	B	M	BM	4	80%	20%	40%	60%	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Keyboard	49	1815725	-999999	1818068	0	2343	2		0	0	0	0	0	0	0			0	Acoustic Content Analysis CSUN-1-1FourAFCVoice-2.wav	17	1807893	6	1815676	0	7783	1	4	0	Keyboard	NA	S1
2	TestList_38	Acoustic Content Analysis CSUN-1-1	104	twoafcproc	TestList	./stimuli/AM-218.jpg	./stimuli/LM-227.jpg	?	?	A	M	AM	L	M	LM	?	?	?	?	?	?	2	60%	40%	?	?	1	3	Acoustic Content Analysis CSUN-1-1TwoAFCVoice-3.wav	17	1818625	6	1824860	1	6235	2	2	0	Keyboard	Keyboard	31	1824891	-999999	1828716	0	3825	2		0	0	0	0	0	0	0			0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S1
2	TestList_86	Acoustic Content Analysis CSUN-1-1	105	fourafcproc	TestList	./stimuli/WM-029.jpg	./stimuli/BM-039.jpg	./stimuli/BM-004.jpg	./stimuli/BF-255.jpg	W	M	WM	B	M	BM	B	M	BM	B	F	BF	2	40%	20%	60%	80%	1	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Keyboard	32	1836956	-999999	1838124	0	1168	3		0	0	0	0	0	0	0			0	Acoustic Content Analysis CSUN-1-1FourAFCVoice-4.wav	17	1829274	6	1836924	1	7650	2	2	0	Keyboard	NA	S1
2	TestList_3	Acoustic Content Analysis CSUN-1-1	106	twoafcproc	TestList	./stimuli/BM-217.jpg	./stimuli/WF-230.jpg	?	?	B	M	BM	W	F	WF	?	?	?	?	?	?	2	60%	40%	?	?	1	5	Acoustic Content Analysis CSUN-1-1TwoAFCVoice-5.wav	17	1838673	6	1842260	1	3587	2	2	0	Keyboard	Keyboard	29	1842289	-999999	1843412	0	1123	3		0	0	0	0	0	0	0			0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S1
2	TestList_78	Acoustic Content Analysis CSUN-1-1	107	fourafcproc	TestList	./stimuli/LM-217.jpg	./stimuli/BM-016.jpg	./stimuli/LF-208.jpg	./stimuli/BF-050.jpg	L	M	LM	B	M	BM	L	F	LF	B	F	BF	1	20%	40%	60%	80%	1	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Keyboard	35	1851039	-999999	1852796	0	1757	2		0	0	0	0	0	0	0			0	Acoustic Content Analysis CSUN-1-1FourAFCVoice-6.wav	17	1843956	6	1851004	0	7048	2	1	0	Keyboard	NA	S1
2	TestList_2	Acoustic Content Analysis CSUN-1-1	108	twoafcproc	TestList	./stimuli/BF-040.jpg	./stimuli/WF-239.jpg	?	?	B	F	BF	W	F	WF	?	?	?	?	?	?	1	40%	60%	?	?	1	7	Acoustic Content Analysis CSUN-1-1TwoAFCVoice-7.wav	17	1853355	6	1857980	1	4625	1	1	0	Keyboard	Keyboard	41	1858021	-999999	1859060	0	1039	3		0	0	0	0	0	0	0			0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S1
2	TestList_82	Acoustic Content Analysis CSUN-1-1	109	fourafcproc	TestList	./stimuli/WF-025.jpg	./stimuli/AM-229.jpg	./stimuli/WM-017.jpg	./stimuli/LM-251.jpg	W	F	WF	A	M	AM	W	M	WM	L	M	LM	4	80%	20%	40%	60%	1	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Keyboard	42	1863054	-999999	1864132	0	1078	3		0	39	1864171	-999999	1906836	0	42665	 I chose the face because  I remembered specifically the mental notes  I created in my mind of who the person reminded me of  		0	Acoustic Content Analysis CSUN-1-1FourAFCVoice-8.wav	16	1859604	7	1863012	1	3408	4	4	0	Keyboard	Keyboard	S1
2	TestList_87	Acoustic Content Analysis CSUN-1-1	110	fourafcproc	TestList	./stimuli/BF-027.jpg	./stimuli/BM-230.jpg	./stimuli/LF-229.jpg	./stimuli/AF-231.jpg	B	F	BF	B	M	BM	L	F	LF	A	F	AF	4	80%	20%	40%	60%	1	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Keyboard	41	1912933	-999999	1914020	0	1087	3		0	0	0	0	0	0	0			0	Acoustic Content Analysis CSUN-1-1FourAFCVoice-9.wav	17	1907417	8	1912892	1	5475	4	4	0	Keyboard	NA	S1
2	TestList_29	Acoustic Content Analysis CSUN-1-1	111	twoafcproc	TestList	./stimuli/AM-238.jpg	./stimuli/WF-224.jpg	?	?	A	M	AM	W	F	WF	?	?	?	?	?	?	1	40%	60%	?	?	1	10	Acoustic Content Analysis CSUN-1-1TwoAFCVoice-10.wav	17	1914566	9	1917388	1	2822	1	1	0	Keyboard	Keyboard	28	1917416	-999999	1920212	0	2796	1		0	0	0	0	0	0	0			0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S1
