response,onset,offset,subject,trial
number two,5.13452203049895,6.08893714594271,S1,1
number one,1.44458195165616,2.06099584251371,S1,10
number two,0.948999892326408,1.60565272213303,S1,100
number one,1.24310781983476,1.89513171372967,S1,11
number two,4.28221553681714,4.91707863868439,S1,12
number one,1.99258702999272,2.62795838335334,S1,13
number four,2.21724328606945,2.96409354424501,S1,14
number one,1.32693748342711,2.02172624230415,S1,15
number one,1.14879254191637,1.8203162839433,S1,16
number three,3.92881724577381,4.62376510443535,S1,17
number one,2.76271701290958,3.43026788868158,S1,18
number three,1.7975008605852,2.53650258175559,S1,19
number one,6.25901655119879,7.12683008625137,S1,2
number one,2.88914071652757,3.62042310900264,S1,20
number two,4.21390595756375,5.02196161356109,S1,21
number three,1.44073908438878,2.077017306521,S1,22
number three,5.95250967857022,6.65454133460613,S1,23
number one,3.17787747388112,3.78466303147765,S1,24
number three,4.96380641252485,5.7024861735859,S1,26
number two,2.03539056104369,2.69157419112223,S1,27
number one,6.12409516417009,7.01549943672248,S1,28
number three,5.72634119029138,6.45377664640153,S1,29
number two,4.94850662514002,5.59854408590746,S1,30
number one,2.48184411113843,3.19830997459225,S1,31
number two,1.23437143532112,1.94368455816061,S1,32
number three,3.36347635279011,4.03529168133117,S1,33
number one,1.06257607942776,1.75859308864108,S1,34
number three,2.78046844762001,3.51116168877189,S1,35
number one,2.69482104166968,3.43016096076985,S1,36
number two,1.91861968883939,2.52851907027871,S1,37
number one,4.91775410887246,5.5986302183524,S1,38
number three,3.32463844332914,4.06148277142182,S1,39
number two,6.35141889974622,7.10790540706421,S1,4
number one,1.69348182003725,2.41405284362741,S1,40
number one,6.23869977870666,6.96573497832868,S1,41
number three,5.1075269047378,5.84724872117522,S1,42
number two,1.19997893454571,1.90678464478161,S1,43
number two,5.61409577164199,6.34075973843353,S1,44
number two,3.88200951063156,4.62008787450723,S1,45
number one,5.11102355158931,5.9510781276366,S1,46
number two,2.33142168031871,3.01586634975275,S1,47
number one,3.59994096915875,4.35982969573371,S1,48
number two,2.96781299507755,3.63006883717342,S1,49
number two,2.08902603189828,2.81203715661674,S1,5
number one,1.60721028009597,2.33850925751827,S1,50
number one,3.35594856095049,4.09686989333886,S1,51
number two,4.96935155749047,5.731087962896,S1,52
number one,2.27172622623346,2.86333096451432,S1,53
number one,1.63766510941726,2.31643570199164,S1,54
number two,2.51753649250865,3.12950368902581,S1,55
number two,5.48672922663041,6.14211928626872,S1,56
number two,1.17878383481907,1.84305436230717,S1,57
number one,1.74765940432398,2.663313955301,S1,58
number one,3.53870526845276,4.20086179371347,S1,59
number two,5.10984935661011,6.28412812835978,S1,6
number two,1.89061077925146,2.51803582155754,S1,60
number one,2.85734582989822,3.56478205740127,S1,61
number three,7.34413863858796,8.01732801072236,S1,62
number one,1.66019073974972,2.33929573114386,S1,63
number three,3.22351482601073,3.94198399681158,S1,64
number two,1.44383516619499,2.14738482702318,S1,65
number one,2.01684583230883,2.68812754981511,S1,66
number two,1.76244961599097,2.45871260311353,S1,67
number one,1.54995078834747,2.29913373863602,S1,68
number two,6.38212846584417,7.05555446274896,S1,69
number one,2.99704377172556,3.78261023927643,S1,7
number three,2.38797016637981,3.02700467174822,S1,70
number one,1.22615664096964,1.87398762878645,S1,71
number three,4.62496789880611,5.40283567242158,S1,72
number one,1.41494405955153,2.14215629384284,S1,73
number one,3.41423021256696,4.10159007217345,S1,74
number one,3.20255785527062,3.94134088655543,S1,75
number one,4.42130281831608,5.13007066280327,S1,76
number one,1.26079254191637,1.92916350475933,S1,77
number one,2.85338624445762,3.52333055953305,S1,78
number one,2.7297811011955,3.43687839794552,S1,79
number four,1.58458907418389,2.46313904839044,S1,8
number two,3.61439788766912,5.02102945595909,S1,80
number two,2.59820770717926,3.25043669515999,S1,81
number two,3.0808107660735,3.77272126521291,S1,82
number two,1.65799371636205,2.36080833618588,S1,83
number two,1.0029178129083,1.68254233741689,S1,84
number four,4.63680417709252,5.32294080041655,S1,85
number two,2.45911632444142,3.16177300157011,S1,87
number one,7.49743038741601,8.28854104854793,S1,88
number four,2.5273058556756,3.5256251834067,S1,89
number four,3.75476399073686,4.42431952379345,S1,9
number one,2.45296060914326,3.34435880697661,S1,90
number two,2.52168795550349,3.17589874825432,S1,91
number one,1.3116391552605,2.0539637477481,S1,92
number two,5.93019459350005,6.67963017496155,S1,93
number two,5.30896483894763,5.94027760501791,S1,95
number one,2.44478701360062,3.00581952298992,S1,96
number one,2.55374708276885,3.24174546284377,S1,97
number four,1.59028054595332,2.28591494429097,S1,98
number one,5.8911188378966,6.57439783624293,S1,99
number one,4.1669252933212,5.09000037464084,S10,1
number one,3.10958844788252,3.99727995860646,S10,10
number one,5.97136905763591,8.89277161776302,S10,100
number two,3.11487861006214,3.84941367406531,S10,11
number one,4.08206312393107,5.02085767125937,S10,12
number three,5.42996131192633,9.54204867768257,S10,13
number one,4.94400721864971,5.90438700927795,S10,14
number one,3.89027431885841,4.72697525845032,S10,15
number two,2.76561370136,3.5986082226953,S10,16
number two,3.31621903431747,4.23813717102232,S10,17
number four,3.32538220423458,4.12574713126199,S10,18
number two,1.312602771488,2.12246345268756,S10,19
number one,2.48166261212531,3.3438949712094,S10,2
number one,4.01096593758142,4.99527868824451,S10,20
number four,7.17382585546552,8.44067032399111,S10,21
number one,4.42617906001758,5.67738105305805,S10,23
number one,2.04262590525492,2.79814149098513,S10,25
number two,1.86899096041681,2.64838766662823,S10,26
number one,4.72179544732055,5.58332313992957,S10,28
number two,6.09942574270717,7.07763372695028,S10,3
number two,1.78902045494252,2.59443644356418,S10,33
number three,4.21344414648091,5.14896269760932,S10,34
number three,6.11008806988577,7.69392020638195,S10,35
number three,3.24135406590059,4.02739611964019,S10,37
number two,1.90555544775987,2.70970938487513,S10,38
number four,4.96559782895429,5.77656998532962,S10,39
number three,6.6276580541984504,7.58630187875671,S10,4
number four,4.28092269036056,6.43175455777432,S10,40
number two,3.15341113171432,4.07127754601706,S10,41
number one,2.67176693922703,3.5461978481948,S10,42
number one,3.13225585081403,4.1670730669641,S10,43
number two,4.69362391713644,5.61690954172801,S10,44
number two,2.64784100258933,3.41552625302819,S10,45
number two,1.7532919812826,2.5900656280451,S10,46
number three,2.45218199246691,3.22300727010689,S10,47
number one,3.95431215310892,4.85844525921709,S10,48
number one,4.24580709820329,5.12395837378214,S10,49
number two,2.329709165216,3.03752774874413,S10,5
number three,6.79533266744076,7.73325253213074,S10,52
number one,3.93472022688347,4.70188279843285,S10,55
number one,5.96315553432184,7.30095341497738,S10,56
number four,4.05438641091022,4.92038691246523,S10,57
number three,4.32865907744388,5.70385699946855,S10,58
number two,2.66387028152368,3.43380264481791,S10,59
number one,7.36503310568106,8.31323257813306,S10,6
number two,2.40835589822379,3.35148596754455,S10,60
number two,1.94825388689874,2.95878361318516,S10,61
number two,4.49570912494516,5.48933893708169,S10,62
number two,1.02466075580231,1.68188690036364,S10,63
number one,4.8082027006276,5.97508096004868,S10,64
number two,4.70138358808707,5.76999448208141,S10,67
number one,1.32139660655125,2.05672046647463,S10,69
