Subject,Age,Sex,Language,Major,Session,Part,Cycle,Trial,BaseRate,Stimulus,Response,Matrix,RT
1,25,female,native,other,1,1,1,1,90,new,new,cr,2021
1,25,female,native,other,1,1,1,2,90,old,old,hit,975
1,25,female,native,other,1,1,1,3,90,new,new,cr,813
1,25,female,native,other,1,1,1,4,90,old,old,hit,1745
1,25,female,native,other,1,1,1,5,90,old,old,hit,839
1,25,female,native,other,1,1,1,6,90,old,old,hit,689
1,25,female,native,other,1,1,1,7,90,old,old,hit,858
1,25,female,native,other,1,1,1,8,90,old,old,hit,676
1,25,female,native,other,1,1,1,9,90,old,old,hit,822
1,25,female,native,other,1,1,1,10,90,old,old,hit,745
1,25,female,native,other,1,1,1,11,90,new,new,cr,792
1,25,female,native,other,1,1,1,12,90,old,old,hit,957
1,25,female,native,other,1,1,1,13,90,old,old,hit,635
1,25,female,native,other,1,1,1,14,90,old,old,hit,655
1,25,female,native,other,1,1,1,15,90,old,old,hit,642
1,25,female,native,other,1,1,1,16,90,old,old,hit,733
1,25,female,native,other,1,1,1,17,90,old,old,hit,549
1,25,female,native,other,1,1,1,18,90,old,old,hit,788
1,25,female,native,other,1,1,1,19,90,old,old,hit,865
1,25,female,native,other,1,1,1,20,90,old,new,miss,1235
1,25,female,native,other,1,1,1,21,90,old,old,hit,774
1,25,female,native,other,1,1,1,22,90,old,old,hit,708
1,25,female,native,other,1,1,1,23,90,old,old,hit,635
1,25,female,native,other,1,1,1,24,90,old,old,hit,943
1,25,female,native,other,1,1,1,25,90,old,old,hit,702
1,25,female,native,other,1,1,1,26,90,old,old,hit,711
1,25,female,native,other,1,1,1,27,90,old,old,hit,664
1,25,female,native,other,1,1,1,28,90,old,old,hit,1066
1,25,female,native,other,1,1,1,29,90,old,old,hit,588
1,25,female,native,other,1,1,1,30,90,old,old,hit,609
1,25,female,native,other,1,1,1,31,90,old,old,hit,558
1,25,female,native,other,1,1,1,32,90,old,old,hit,677
1,25,female,native,other,1,1,1,33,90,old,old,hit,1255
1,25,female,native,other,1,1,1,34,90,old,old,hit,761
1,25,female,native,other,1,1,1,35,90,old,old,hit,607
1,25,female,native,other,1,1,1,36,90,old,old,hit,628
1,25,female,native,other,1,1,1,37,90,old,old,hit,752
1,25,female,native,other,1,1,1,38,90,old,old,hit,734
1,25,female,native,other,1,1,1,39,90,old,old,hit,630
1,25,female,native,other,1,1,1,40,90,old,old,hit,641
1,25,female,native,other,1,1,1,41,90,old,old,hit,669
1,25,female,native,other,1,1,1,42,90,old,old,hit,1727
1,25,female,native,other,1,1,1,43,90,old,old,hit,645
1,25,female,native,other,1,1,1,44,90,old,old,hit,521
1,25,female,native,other,1,1,1,45,90,old,old,hit,633
1,25,female,native,other,1,1,1,46,90,old,old,hit,677
1,25,female,native,other,1,1,1,47,90,old,old,hit,614
1,25,female,native,other,1,1,1,48,90,new,new,cr,859
1,25,female,native,other,1,1,1,49,90,new,new,cr,1005
1,25,female,native,other,1,1,1,50,90,new,old,fa,657
1,25,female,native,other,1,1,1,51,90,old,old,hit,780
1,25,female,native,other,1,1,1,52,90,old,old,hit,921
1,25,female,native,other,1,1,1,53,90,old,old,hit,712
1,25,female,native,other,1,1,1,54,90,old,old,hit,792
1,25,female,native,other,1,1,1,55,90,old,old,hit,629
1,25,female,native,other,1,1,1,56,90,old,old,hit,617
1,25,female,native,other,1,1,1,57,90,old,old,hit,686
1,25,female,native,other,1,1,1,58,90,old,old,hit,960
1,25,female,native,other,1,1,1,59,90,old,old,hit,598
1,25,female,native,other,1,1,1,60,90,old,old,hit,659
1,25,female,native,other,1,1,2,1,25,new,new,cr,1354
1,25,female,native,other,1,1,2,2,25,new,new,cr,720
1,25,female,native,other,1,1,2,3,25,old,old,hit,785
1,25,female,native,other,1,1,2,4,25,new,new,cr,734
1,25,female,native,other,1,1,2,5,25,old,old,hit,894
1,25,female,native,other,1,1,2,6,25,new,new,cr,774
1,25,female,native,other,1,1,2,7,25,new,new,cr,644
1,25,female,native,other,1,1,2,8,25,new,new,cr,1087
1,25,female,native,other,1,1,2,9,25,new,new,cr,680
1,25,female,native,other,1,1,2,10,25,old,old,hit,850
1,25,female,native,other,1,1,2,11,25,new,new,cr,701
1,25,female,native,other,1,1,2,12,25,new,new,cr,918
1,25,female,native,other,1,1,2,13,25,new,new,cr,782
1,25,female,native,other,1,1,2,14,25,old,old,hit,724
1,25,female,native,other,1,1,2,15,25,new,new,cr,748
1,25,female,native,other,1,1,2,16,25,new,new,cr,787
1,25,female,native,other,1,1,2,17,25,new,new,cr,672
1,25,female,native,other,1,1,2,18,25,new,new,cr,674
1,25,female,native,other,1,1,2,19,25,new,new,cr,892
1,25,female,native,other,1,1,2,20,25,new,old,fa,949
1,25,female,native,other,1,1,2,21,25,new,new,cr,716
1,25,female,native,other,1,1,2,22,25,old,old,hit,651
1,25,female,native,other,1,1,2,23,25,new,new,cr,622
1,25,female,native,other,1,1,2,24,25,old,old,hit,762
1,25,female,native,other,1,1,2,25,25,old,old,hit,793
1,25,female,native,other,1,1,2,26,25,new,new,cr,862
1,25,female,native,other,1,1,2,27,25,new,new,cr,712
1,25,female,native,other,1,1,2,28,25,new,new,cr,976
1,25,female,native,other,1,1,2,29,25,old,old,hit,630
1,25,female,native,other,1,1,2,30,25,old,old,hit,825
1,25,female,native,other,1,1,2,31,25,new,new,cr,597
1,25,female,native,other,1,1,2,32,25,new,new,cr,730
1,25,female,native,other,1,1,2,33,25,old,old,hit,810
1,25,female,native,other,1,1,2,34,25,new,new,cr,734
1,25,female,native,other,1,1,2,35,25,new,new,cr,1678
1,25,female,native,other,1,1,2,36,25,old,old,hit,590
1,25,female,native,other,1,1,2,37,25,new,new,cr,659
1,25,female,native,other,1,1,2,38,25,new,new,cr,701
1,25,female,native,other,1,1,2,39,25,new,new,cr,630
1,25,female,native,other,1,1,2,40,25,new,new,cr,730
1,25,female,native,other,1,1,2,41,25,new,new,cr,610
1,25,female,native,other,1,1,2,42,25,new,new,cr,663
1,25,female,native,other,1,1,2,43,25,new,old,fa,737
1,25,female,native,other,1,1,2,44,25,old,old,hit,680
1,25,female,native,other,1,1,2,45,25,new,old,fa,858
1,25,female,native,other,1,1,2,46,25,new,new,cr,692
1,25,female,native,other,1,1,2,47,25,new,new,cr,773
1,25,female,native,other,1,1,2,48,25,new,old,fa,1019
1,25,female,native,other,1,1,2,49,25,new,new,cr,679
1,25,female,native,other,1,1,2,50,25,new,new,cr,641
1,25,female,native,other,1,1,2,51,25,new,new,cr,668
1,25,female,native,other,1,1,2,52,25,new,new,cr,663
1,25,female,native,other,1,1,2,53,25,new,old,fa,968
1,25,female,native,other,1,1,2,54,25,new,old,fa,1126
1,25,female,native,other,1,1,2,55,25,new,new,cr,709
1,25,female,native,other,1,1,2,56,25,new,new,cr,622
1,25,female,native,other,1,1,2,57,25,old,old,hit,954
1,25,female,native,other,1,1,2,58,25,old,old,hit,929
1,25,female,native,other,1,1,2,59,25,new,new,cr,848
1,25,female,native,other,1,1,2,60,25,old,old,hit,1155
1,25,female,native,other,1,1,3,1,10,new,new,cr,1061
1,25,female,native,other,1,1,3,2,10,new,new,cr,607
1,25,female,native,other,1,1,3,3,10,new,new,cr,603
1,25,female,native,other,1,1,3,4,10,new,new,cr,657
1,25,female,native,other,1,1,3,5,10,new,new,cr,699
1,25,female,native,other,1,1,3,6,10,new,new,cr,860
1,25,female,native,other,1,1,3,7,10,new,new,cr,583
1,25,female,native,other,1,1,3,8,10,new,new,cr,565
1,25,female,native,other,1,1,3,9,10,new,new,cr,866
1,25,female,native,other,1,1,3,10,10,new,new,cr,548
1,25,female,native,other,1,1,3,11,10,new,new,cr,564
1,25,female,native,other,1,1,3,12,10,new,new,cr,651
1,25,female,native,other,1,1,3,13,10,old,old,hit,774
1,25,female,native,other,1,1,3,14,10,new,old,fa,899
1,25,female,native,other,1,1,3,15,10,new,new,cr,860
1,25,female,native,other,1,1,3,16,10,old,old,hit,670
1,25,female,native,other,1,1,3,17,10,new,new,cr,952
1,25,female,native,other,1,1,3,18,10,new,new,cr,615
1,25,female,native,other,1,1,3,19,10,new,new,cr,620
1,25,female,native,other,1,1,3,20,10,new,new,cr,624
1,25,female,native,other,1,1,3,21,10,new,new,cr,971
1,25,female,native,other,1,1,3,22,10,new,new,cr,633
1,25,female,native,other,1,1,3,23,10,new,new,cr,645
1,25,female,native,other,1,1,3,24,10,new,new,cr,640
1,25,female,native,other,1,1,3,25,10,new,new,cr,762
1,25,female,native,other,1,1,3,26,10,new,new,cr,601
1,25,female,native,other,1,1,3,27,10,new,new,cr,646
1,25,female,native,other,1,1,3,28,10,new,new,cr,857
1,25,female,native,other,1,1,3,29,10,new,new,cr,723
1,25,female,native,other,1,1,3,30,10,new,new,cr,499
1,25,female,native,other,1,1,3,31,10,old,old,hit,669
1,25,female,native,other,1,1,3,32,10,new,new,cr,703
1,25,female,native,other,1,1,3,33,10,new,new,cr,624
1,25,female,native,other,1,1,3,34,10,new,new,cr,588
1,25,female,native,other,1,1,3,35,10,new,new,cr,657
1,25,female,native,other,1,1,3,36,10,old,old,hit,1028
1,25,female,native,other,1,1,3,37,10,new,new,cr,639
1,25,female,native,other,1,1,3,38,10,new,new,cr,1282
1,25,female,native,other,1,1,3,39,10,new,new,cr,915
1,25,female,native,other,1,1,3,40,10,new,new,cr,1171
1,25,female,native,other,1,1,3,41,10,new,new,cr,624
1,25,female,native,other,1,1,3,42,10,new,new,cr,1260
1,25,female,native,other,1,1,3,43,10,new,new,cr,582
1,25,female,native,other,1,1,3,44,10,old,old,hit,868
1,25,female,native,other,1,1,3,45,10,new,new,cr,870
1,25,female,native,other,1,1,3,46,10,new,new,cr,632
1,25,female,native,other,1,1,3,47,10,new,new,cr,484
1,25,female,native,other,1,1,3,48,10,new,new,cr,798
1,25,female,native,other,1,1,3,49,10,new,new,cr,475
1,25,female,native,other,1,1,3,50,10,new,new,cr,1077
1,25,female,native,other,1,1,3,51,10,new,new,cr,983
1,25,female,native,other,1,1,3,52,10,new,new,cr,708
1,25,female,native,other,1,1,3,53,10,new,new,cr,564
1,25,female,native,other,1,1,3,54,10,new,new,cr,555
1,25,female,native,other,1,1,3,55,10,new,new,cr,610
1,25,female,native,other,1,1,3,56,10,new,new,cr,590
1,25,female,native,other,1,1,3,57,10,new,new,cr,547
1,25,female,native,other,1,1,3,58,10,old,old,hit,770
1,25,female,native,other,1,1,3,59,10,new,new,cr,1240
1,25,female,native,other,1,1,3,60,10,new,new,cr,667
1,25,female,native,other,1,1,4,1,35,old,old,hit,1211
1,25,female,native,other,1,1,4,2,35,new,new,cr,582
1,25,female,native,other,1,1,4,3,35,old,old,hit,772
1,25,female,native,other,1,1,4,4,35,new,new,cr,714
1,25,female,native,other,1,1,4,5,35,old,old,hit,986
1,25,female,native,other,1,1,4,6,35,old,old,hit,1016
1,25,female,native,other,1,1,4,7,35,old,old,hit,572
1,25,female,native,other,1,1,4,8,35,new,new,cr,1058
1,25,female,native,other,1,1,4,9,35,new,new,cr,852
1,25,female,native,other,1,1,4,10,35,new,new,cr,622
1,25,female,native,other,1,1,4,11,35,new,new,cr,810
1,25,female,native,other,1,1,4,12,35,new,new,cr,591
1,25,female,native,other,1,1,4,13,35,new,new,cr,596
1,25,female,native,other,1,1,4,14,35,new,new,cr,609
1,25,female,native,other,1,1,4,15,35,old,old,hit,694
1,25,female,native,other,1,1,4,16,35,new,new,cr,710
1,25,female,native,other,1,1,4,17,35,new,new,cr,830
1,25,female,native,other,1,1,4,18,35,old,old,hit,578
1,25,female,native,other,1,1,4,19,35,old,old,hit,888
1,25,female,native,other,1,1,4,20,35,new,new,cr,657
1,25,female,native,other,1,1,4,21,35,new,new,cr,603
1,25,female,native,other,1,1,4,22,35,new,new,cr,697
1,25,female,native,other,1,1,4,23,35,new,new,cr,506
1,25,female,native,other,1,1,4,24,35,old,old,hit,667
1,25,female,native,other,1,1,4,25,35,new,new,cr,789
1,25,female,native,other,1,1,4,26,35,old,new,miss,530
1,25,female,native,other,1,1,4,27,35,new,new,cr,610
1,25,female,native,other,1,1,4,28,35,old,old,hit,727
1,25,female,native,other,1,1,4,29,35,new,new,cr,1287
1,25,female,native,other,1,1,4,30,35,new,new,cr,663
1,25,female,native,other,1,1,4,31,35,new,old,fa,1153
1,25,female,native,other,1,1,4,32,35,new,new,cr,775
1,25,female,native,other,1,1,4,33,35,new,new,cr,813
1,25,female,native,other,1,1,4,34,35,old,new,miss,681
1,25,female,native,other,1,1,4,35,35,new,new,cr,627
1,25,female,native,other,1,1,4,36,35,old,old,hit,967
1,25,female,native,other,1,1,4,37,35,old,old,hit,885
1,25,female,native,other,1,1,4,38,35,new,new,cr,679
1,25,female,native,other,1,1,4,39,35,new,new,cr,761
1,25,female,native,other,1,1,4,40,35,old,old,hit,679
1,25,female,native,other,1,1,4,41,35,new,new,cr,697
1,25,female,native,other,1,1,4,42,35,old,old,hit,946
1,25,female,native,other,1,1,4,43,35,new,new,cr,913
1,25,female,native,other,1,1,4,44,35,new,new,cr,729
1,25,female,native,other,1,1,4,45,35,old,old,hit,808
1,25,female,native,other,1,1,4,46,35,old,new,miss,949
1,25,female,native,other,1,1,4,47,35,new,new,cr,1091
1,25,female,native,other,1,1,4,48,35,new,new,cr,811
1,25,female,native,other,1,1,4,49,35,new,new,cr,847
1,25,female,native,other,1,1,4,50,35,old,old,hit,722
1,25,female,native,other,1,1,4,51,35,new,new,cr,610
1,25,female,native,other,1,1,4,52,35,new,new,cr,783
1,25,female,native,other,1,1,4,53,35,new,new,cr,748
1,25,female,native,other,1,1,4,54,35,new,new,cr,1059
1,25,female,native,other,1,1,4,55,35,new,new,cr,757
1,25,female,native,other,1,1,4,56,35,old,old,hit,716
1,25,female,native,other,1,1,4,57,35,new,new,cr,924
1,25,female,native,other,1,1,4,58,35,old,old,hit,803
1,25,female,native,other,1,1,4,59,35,new,new,cr,648
1,25,female,native,other,1,1,4,60,35,new,new,cr,764
1,25,female,native,other,1,1,5,1,90,old,old,hit,1129
1,25,female,native,other,1,1,5,2,90,old,old,hit,872
1,25,female,native,other,1,1,5,3,90,old,old,hit,738
1,25,female,native,other,1,1,5,4,90,new,new,cr,720
1,25,female,native,other,1,1,5,5,90,old,old,hit,688
1,25,female,native,other,1,1,5,6,90,old,old,hit,577
1,25,female,native,other,1,1,5,7,90,old,old,hit,631
1,25,female,native,other,1,1,5,8,90,old,old,hit,603
1,25,female,native,other,1,1,5,9,90,old,old,hit,688
1,25,female,native,other,1,1,5,10,90,old,old,hit,1058
1,25,female,native,other,1,1,5,11,90,old,old,hit,547
1,25,female,native,other,1,1,5,12,90,old,new,miss,1131
1,25,female,native,other,1,1,5,13,90,old,old,hit,602
1,25,female,native,other,1,1,5,14,90,old,old,hit,711
1,25,female,native,other,1,1,5,15,90,old,old,hit,1152
1,25,female,native,other,1,1,5,16,90,new,new,cr,678
1,25,female,native,other,1,1,5,17,90,old,old,hit,656
1,25,female,native,other,1,1,5,18,90,new,new,cr,682
1,25,female,native,other,1,1,5,19,90,old,old,hit,668
1,25,female,native,other,1,1,5,20,90,old,old,hit,886
1,25,female,native,other,1,1,5,21,90,old,old,hit,767
1,25,female,native,other,1,1,5,22,90,old,old,hit,854
1,25,female,native,other,1,1,5,23,90,old,old,hit,680
1,25,female,native,other,1,1,5,24,90,old,old,hit,1314
1,25,female,native,other,1,1,5,25,90,old,old,hit,969
1,25,female,native,other,1,1,5,26,90,old,old,hit,1119
1,25,female,native,other,1,1,5,27,90,old,old,hit,751
1,25,female,native,other,1,1,5,28,90,old,old,hit,1150
1,25,female,native,other,1,1,5,29,90,old,old,hit,613
1,25,female,native,other,1,1,5,30,90,old,old,hit,777
1,25,female,native,other,1,1,5,31,90,old,old,hit,607
1,25,female,native,other,1,1,5,32,90,old,old,hit,700
1,25,female,native,other,1,1,5,33,90,old,old,hit,661
1,25,female,native,other,1,1,5,34,90,old,old,hit,663
1,25,female,native,other,1,1,5,35,90,new,new,cr,689
1,25,female,native,other,1,1,5,36,90,old,old,hit,658
1,25,female,native,other,1,1,5,37,90,old,old,hit,588
1,25,female,native,other,1,1,5,38,90,old,old,hit,658
1,25,female,native,other,1,1,5,39,90,old,old,hit,700
1,25,female,native,other,1,1,5,40,90,old,old,hit,741
1,25,female,native,other,1,1,5,41,90,old,old,hit,980
1,25,female,native,other,1,1,5,42,90,old,old,hit,762
1,25,female,native,other,1,1,5,43,90,old,old,hit,880
1,25,female,native,other,1,1,5,44,90,old,old,hit,690
1,25,female,native,other,1,1,5,45,90,old,old,hit,755
1,25,female,native,other,1,1,5,46,90,old,old,hit,721
1,25,female,native,other,1,1,5,47,90,old,old,hit,673
1,25,female,native,other,1,1,5,48,90,old,old,hit,883
1,25,female,native,other,1,1,5,49,90,new,new,cr,1284
1,25,female,native,other,1,1,5,50,90,old,old,hit,885
1,25,female,native,other,1,1,5,51,90,old,new,miss,990
1,25,female,native,other,1,1,5,52,90,old,old,hit,994
1,25,female,native,other,1,1,5,53,90,old,old,hit,607
1,25,female,native,other,1,1,5,54,90,old,old,hit,820
1,25,female,native,other,1,1,5,55,90,old,old,hit,608
1,25,female,native,other,1,1,5,56,90,old,old,hit,677
1,25,female,native,other,1,1,5,57,90,old,old,hit,710
1,25,female,native,other,1,1,5,58,90,old,old,hit,791
1,25,female,native,other,1,1,5,59,90,new,new,cr,748
1,25,female,native,other,1,1,5,60,90,old,new,miss,771
1,25,female,native,other,1,2,6,1,75,old,old,hit,1467
1,25,female,native,other,1,2,6,2,75,old,old,hit,612
1,25,female,native,other,1,2,6,3,75,new,new,cr,697
1,25,female,native,other,1,2,6,4,75,new,new,cr,849
1,25,female,native,other,1,2,6,5,75,old,old,hit,548
1,25,female,native,other,1,2,6,6,75,old,old,hit,699
1,25,female,native,other,1,2,6,7,75,old,old,hit,596
1,25,female,native,other,1,2,6,8,75,old,old,hit,578
1,25,female,native,other,1,2,6,9,75,old,old,hit,640
1,25,female,native,other,1,2,6,10,75,old,old,hit,779
1,25,female,native,other,1,2,6,11,75,old,old,hit,664
1,25,female,native,other,1,2,6,12,75,old,old,hit,579
1,25,female,native,other,1,2,6,13,75,new,new,cr,641
1,25,female,native,other,1,2,6,14,75,old,old,hit,684
1,25,female,native,other,1,2,6,15,75,new,old,fa,638
1,25,female,native,other,1,2,6,16,75,old,old,hit,545
1,25,female,native,other,1,2,6,17,75,old,old,hit,729
1,25,female,native,other,1,2,6,18,75,old,old,hit,696
1,25,female,native,other,1,2,6,19,75,old,old,hit,730
1,25,female,native,other,1,2,6,20,75,old,old,hit,681
1,25,female,native,other,1,2,6,21,75,old,new,miss,1194
1,25,female,native,other,1,2,6,22,75,old,old,hit,582
1,25,female,native,other,1,2,6,23,75,old,old,hit,548
1,25,female,native,other,1,2,6,24,75,old,old,hit,716
1,25,female,native,other,1,2,6,25,75,old,old,hit,636
1,25,female,native,other,1,2,6,26,75,old,old,hit,856
1,25,female,native,other,1,2,6,27,75,old,old,hit,602
