Subject,OriginalNumber,Age,Sex,Language,Major,Semester,Session,Cycle,Trial,BaseRate,Stimulus,Response,Matrix,RT,Word
1,11,20,female,native,psychology,1,1,1,1,15,new,new,cr,1872,
1,11,20,female,native,psychology,1,1,1,2,15,new,new,cr,1248,
1,11,20,female,native,psychology,1,1,1,3,15,new,new,cr,1313,
1,11,20,female,native,psychology,1,1,1,4,15,new,new,cr,1528,
1,11,20,female,native,psychology,1,1,1,5,15,old,new,miss,2590,
1,11,20,female,native,psychology,1,1,1,6,15,new,old,fa,2920,
1,11,20,female,native,psychology,1,1,1,7,15,new,old,fa,1005,
1,11,20,female,native,psychology,1,1,1,8,15,new,new,cr,1784,
1,11,20,female,native,psychology,1,1,1,9,15,new,new,cr,1396,
1,11,20,female,native,psychology,1,1,1,10,15,new,new,cr,1280,
1,11,20,female,native,psychology,1,1,1,11,15,old,old,hit,1032,
1,11,20,female,native,psychology,1,1,1,12,15,new,new,cr,1011,
1,11,20,female,native,psychology,1,1,1,13,15,new,new,cr,1015,
1,11,20,female,native,psychology,1,1,1,14,15,new,new,cr,875,
1,11,20,female,native,psychology,1,1,1,15,15,new,new,cr,2108,
1,11,20,female,native,psychology,1,1,1,16,15,new,new,cr,826,
1,11,20,female,native,psychology,1,1,1,17,15,new,new,cr,1101,
1,11,20,female,native,psychology,1,1,1,18,15,new,new,cr,1237,
1,11,20,female,native,psychology,1,1,1,19,15,old,old,hit,904,
1,11,20,female,native,psychology,1,1,1,20,15,new,new,cr,1335,
1,11,20,female,native,psychology,1,1,1,21,15,new,new,cr,1254,
1,11,20,female,native,psychology,1,1,1,22,15,new,new,cr,1560,
1,11,20,female,native,psychology,1,1,1,23,15,new,new,cr,1092,
1,11,20,female,native,psychology,1,1,1,24,15,new,new,cr,1028,
1,11,20,female,native,psychology,1,1,1,25,15,new,new,cr,1159,
1,11,20,female,native,psychology,1,1,1,26,15,new,new,cr,885,
1,11,20,female,native,psychology,1,1,1,27,15,new,new,cr,1294,
1,11,20,female,native,psychology,1,1,1,28,15,new,new,cr,718,
1,11,20,female,native,psychology,1,1,1,29,15,old,old,hit,1262,
1,11,20,female,native,psychology,1,1,1,30,15,new,new,cr,1879,
1,11,20,female,native,psychology,1,1,1,31,15,new,old,fa,4967,
1,11,20,female,native,psychology,1,1,1,32,15,new,old,fa,4502,
1,11,20,female,native,psychology,1,1,1,33,15,new,new,cr,1385,
1,11,20,female,native,psychology,1,1,1,34,15,new,new,cr,837,
1,11,20,female,native,psychology,1,1,1,35,15,old,new,miss,3504,
1,11,20,female,native,psychology,1,1,1,36,15,new,new,cr,877,
1,11,20,female,native,psychology,1,1,1,37,15,old,new,miss,998,
1,11,20,female,native,psychology,1,1,1,38,15,new,new,cr,3721,
1,11,20,female,native,psychology,1,1,1,39,15,new,new,cr,1637,
1,11,20,female,native,psychology,1,1,1,40,15,new,new,cr,1062,
1,11,20,female,native,psychology,1,1,1,41,15,old,old,hit,832,
1,11,20,female,native,psychology,1,1,1,42,15,new,new,cr,995,
1,11,20,female,native,psychology,1,1,1,43,15,new,new,cr,1568,
1,11,20,female,native,psychology,1,1,1,44,15,new,new,cr,2420,
1,11,20,female,native,psychology,1,1,1,45,15,new,new,cr,1046,
1,11,20,female,native,psychology,1,1,1,46,15,new,new,cr,1024,
1,11,20,female,native,psychology,1,1,1,47,15,new,new,cr,1275,
1,11,20,female,native,psychology,1,1,1,48,15,new,new,cr,779,
1,11,20,female,native,psychology,1,1,1,49,15,new,new,cr,705,
1,11,20,female,native,psychology,1,1,1,50,15,old,old,hit,1177,
1,11,20,female,native,psychology,1,1,1,51,15,new,new,cr,3014,
1,11,20,female,native,psychology,1,1,1,52,15,new,new,cr,1022,
1,11,20,female,native,psychology,1,1,1,53,15,new,new,cr,1025,
1,11,20,female,native,psychology,1,1,1,54,15,new,new,cr,916,
1,11,20,female,native,psychology,1,1,1,55,15,old,old,hit,940,
1,11,20,female,native,psychology,1,1,1,56,15,new,new,cr,1129,
1,11,20,female,native,psychology,1,1,1,57,15,new,new,cr,920,
1,11,20,female,native,psychology,1,1,1,58,15,new,new,cr,4408,
1,11,20,female,native,psychology,1,1,1,59,15,new,new,cr,1191,
1,11,20,female,native,psychology,1,1,1,60,15,new,new,cr,803,
1,11,20,female,native,psychology,1,1,1,61,15,new,new,cr,887,
1,11,20,female,native,psychology,1,1,1,62,15,new,new,cr,992,
1,11,20,female,native,psychology,1,1,1,63,15,old,old,hit,1629,
