Subject,Age,Sex,Language,Major,Session,Cycle,Trial,BaseRate,Stimulus,Response,Matrix,RT,OldKey
1,20,male,native,psychology,1,1,1,20,old,old,hit,2626,right
1,20,male,native,psychology,1,1,2,20,new,new,cr,1919,left
1,20,male,native,psychology,1,1,3,20,new,new,cr,1897,left
1,20,male,native,psychology,1,1,4,20,new,new,cr,1636,right
1,20,male,native,psychology,1,1,5,20,new,new,cr,1021,left
1,20,male,native,psychology,1,1,6,20,new,new,cr,969,left
1,20,male,native,psychology,1,1,7,20,old,old,hit,1467,right
1,20,male,native,psychology,1,1,8,20,new,new,cr,1464,left
1,20,male,native,psychology,1,1,9,20,new,new,cr,1029,left
1,20,male,native,psychology,1,1,10,20,new,new,cr,1444,right
1,20,male,native,psychology,1,1,11,20,old,old,hit,1329,left
1,20,male,native,psychology,1,1,12,20,new,new,cr,1460,right
1,20,male,native,psychology,1,1,13,20,new,new,cr,2113,left
1,20,male,native,psychology,1,1,14,20,old,old,hit,1538,left
1,20,male,native,psychology,1,1,15,20,new,new,cr,2205,right
1,20,male,native,psychology,1,1,16,20,new,new,cr,1467,right
1,20,male,native,psychology,1,1,17,20,new,new,cr,1256,left
1,20,male,native,psychology,1,1,18,20,new,new,cr,1118,right
1,20,male,native,psychology,1,1,19,20,new,new,cr,1209,right
1,20,male,native,psychology,1,1,20,20,new,new,cr,1088,right
1,20,male,native,psychology,1,1,21,20,old,old,hit,1309,left
1,20,male,native,psychology,1,1,22,20,new,new,cr,2032,right
1,20,male,native,psychology,1,1,23,20,new,new,cr,1590,right
1,20,male,native,psychology,1,1,24,20,old,old,hit,3374,right
1,20,male,native,psychology,1,1,25,20,new,old,fa,875,left
1,20,male,native,psychology,1,1,26,20,new,new,cr,3729,right
1,20,male,native,psychology,1,1,27,20,new,new,cr,1456,right
1,20,male,native,psychology,1,1,28,20,new,new,cr,1133,right
1,20,male,native,psychology,1,1,29,20,new,new,cr,1096,left
1,20,male,native,psychology,1,1,30,20,new,new,cr,996,left
1,20,male,native,psychology,1,1,31,20,new,new,cr,917,left
1,20,male,native,psychology,1,1,32,20,new,new,cr,1032,left
1,20,male,native,psychology,1,1,33,20,old,old,hit,1335,left
1,20,male,native,psychology,1,1,34,20,new,new,cr,1386,left
1,20,male,native,psychology,1,1,35,20,new,new,cr,2106,left
1,20,male,native,psychology,1,1,36,20,new,new,cr,1708,right
1,20,male,native,psychology,1,1,37,20,old,new,miss,3152,right
1,20,male,native,psychology,1,1,38,20,new,new,cr,2534,left
1,20,male,native,psychology,1,1,39,20,new,new,cr,4023,right
1,20,male,native,psychology,1,1,40,20,new,new,cr,1002,right
1,20,male,native,psychology,1,1,41,20,new,new,cr,874,right
1,20,male,native,psychology,1,1,42,20,new,new,cr,1360,right
1,20,male,native,psychology,1,1,43,20,new,new,cr,1617,right
1,20,male,native,psychology,1,1,44,20,new,new,cr,1223,right
1,20,male,native,psychology,1,1,45,20,new,new,cr,1167,left
1,20,male,native,psychology,1,1,46,20,old,old,hit,2360,left
1,20,male,native,psychology,1,1,47,20,new,new,cr,1984,left
1,20,male,native,psychology,1,1,48,20,new,new,cr,2136,right
1,20,male,native,psychology,1,1,49,20,old,old,hit,2121,left
1,20,male,native,psychology,1,1,50,20,new,new,cr,2635,right
1,20,male,native,psychology,1,1,51,20,new,new,cr,1367,left
1,20,male,native,psychology,1,1,52,20,new,new,cr,1576,right
1,20,male,native,psychology,1,1,53,20,new,new,cr,1713,left
1,20,male,native,psychology,1,1,54,20,new,new,cr,1203,left
1,20,male,native,psychology,1,1,55,20,new,new,cr,1147,right
1,20,male,native,psychology,1,1,56,20,new,new,cr,933,left
1,20,male,native,psychology,1,1,57,20,new,new,cr,1288,left
1,20,male,native,psychology,1,1,58,20,old,new,miss,1741,right
1,20,male,native,psychology,1,1,59,20,old,new,miss,1726,right
1,20,male,native,psychology,1,1,60,20,new,new,cr,2208,left
1,20,male,native,psychology,1,1,61,20,new,new,cr,1679,right
1,20,male,native,psychology,1,1,62,20,new,new,cr,1602,left
1,20,male,native,psychology,1,1,63,20,new,new,cr,1466,left
1,20,male,native,psychology,1,1,64,20,new,new,cr,1095,left
1,20,male,native,psychology,1,1,65,20,new,new,cr,1107,right
1,20,male,native,psychology,1,1,66,20,old,old,hit,1535,left
1,20,male,native,psychology,1,1,67,20,new,new,cr,1001,right
1,20,male,native,psychology,1,1,68,20,old,old,hit,1529,left
1,20,male,native,psychology,1,1,69,20,old,old,hit,1699,right
1,20,male,native,psychology,1,1,70,20,new,new,cr,1223,left
1,20,male,native,psychology,1,1,71,20,old,old,hit,1534,right
1,20,male,native,psychology,1,1,72,20,new,new,cr,2024,left
1,20,male,native,psychology,1,1,73,20,new,new,cr,1294,left
1,20,male,native,psychology,1,1,74,20,new,new,cr,2322,left
1,20,male,native,psychology,1,1,75,20,new,new,cr,1083,right
1,20,male,native,psychology,1,1,76,20,new,new,cr,1848,right
1,20,male,native,psychology,1,1,77,20,new,new,cr,1829,left
1,20,male,native,psychology,1,1,78,20,new,new,cr,1139,right
1,20,male,native,psychology,1,1,79,20,new,new,cr,2029,right
1,20,male,native,psychology,1,1,80,20,new,new,cr,1667,right
1,20,male,native,psychology,1,1,81,20,old,old,hit,1591,left
1,20,male,native,psychology,1,1,82,20,new,new,cr,2655,right
1,20,male,native,psychology,1,1,83,20,old,new,miss,6011,right
1,20,male,native,psychology,1,1,84,20,new,new,cr,1275,left
1,20,male,native,psychology,1,1,85,20,new,new,cr,1776,left
1,20,male,native,psychology,1,1,86,20,new,new,cr,1041,left
1,20,male,native,psychology,1,1,87,20,new,new,cr,1247,right
1,20,male,native,psychology,1,1,88,20,new,new,cr,1333,right
1,20,male,native,psychology,1,1,89,20,new,new,cr,1064,right
1,20,male,native,psychology,1,1,90,20,old,new,miss,1621,left
1,20,male,native,psychology,1,1,91,20,new,new,cr,1004,right
1,20,male,native,psychology,1,1,92,20,new,new,cr,1180,left
1,20,male,native,psychology,1,1,93,20,new,new,cr,1797,left
1,20,male,native,psychology,1,1,94,20,new,new,cr,2324,right
1,20,male,native,psychology,1,1,95,20,new,new,cr,3453,left
1,20,male,native,psychology,1,1,96,20,new,new,cr,808,left
1,20,male,native,psychology,1,1,97,20,new,new,cr,832,left
1,20,male,native,psychology,1,1,98,20,new,new,cr,984,right
1,20,male,native,psychology,1,1,99,20,old,new,miss,1033,right
1,20,male,native,psychology,1,1,100,20,new,new,cr,1543,right
1,20,male,native,psychology,1,2,1,80,old,old,hit,2627,right
1,20,male,native,psychology,1,2,2,80,old,old,hit,2032,left
1,20,male,native,psychology,1,2,3,80,old,old,hit,1157,right
1,20,male,native,psychology,1,2,4,80,old,new,miss,1023,right
1,20,male,native,psychology,1,2,5,80,old,old,hit,1887,left
1,20,male,native,psychology,1,2,6,80,old,old,hit,1066,right
1,20,male,native,psychology,1,2,7,80,old,old,hit,1944,right
1,20,male,native,psychology,1,2,8,80,old,old,hit,1025,right
1,20,male,native,psychology,1,2,9,80,old,old,hit,1073,left
1,20,male,native,psychology,1,2,10,80,new,new,cr,1326,right
1,20,male,native,psychology,1,2,11,80,new,old,fa,1777,left
1,20,male,native,psychology,1,2,12,80,old,old,hit,929,left
1,20,male,native,psychology,1,2,13,80,old,new,miss,2420,left
1,20,male,native,psychology,1,2,14,80,old,old,hit,1113,right
1,20,male,native,psychology,1,2,15,80,old,old,hit,1061,left
1,20,male,native,psychology,1,2,16,80,old,old,hit,1298,left
1,20,male,native,psychology,1,2,17,80,old,old,hit,870,right
1,20,male,native,psychology,1,2,18,80,new,new,cr,1788,left
1,20,male,native,psychology,1,2,19,80,new,new,cr,1340,right
1,20,male,native,psychology,1,2,20,80,old,old,hit,1006,left
1,20,male,native,psychology,1,2,21,80,old,old,hit,1230,left
1,20,male,native,psychology,1,2,22,80,old,old,hit,965,right
1,20,male,native,psychology,1,2,23,80,old,old,hit,1511,left
1,20,male,native,psychology,1,2,24,80,old,old,hit,945,left
1,20,male,native,psychology,1,2,25,80,old,old,hit,1076,left
1,20,male,native,psychology,1,2,26,80,old,old,hit,1425,right
1,20,male,native,psychology,1,2,27,80,old,old,hit,768,right
1,20,male,native,psychology,1,2,28,80,old,old,hit,1002,right
1,20,male,native,psychology,1,2,29,80,old,old,hit,810,right
1,20,male,native,psychology,1,2,30,80,new,new,cr,1042,left
